,Title,Rating,Release Date,Runtime,Genres
13967,Km 31-2,6.7,11/4/2016,105,"Mystery, Horror"
13968,Material Girls,5.3,8/18/2006,97,Comedy
13969,Eliminators,6.3,12/6/2016,95,Action
13970,Special ID,5.5,10/17/2013,98,"Drama, Action, Crime"
13971,Who Killed Cock Robin,7.0,3/30/2017,118,"Mystery, Thriller, Crime"
13972,Rasputin: The Mad Monk,5.9,3/6/1966,91,Horror
13973,Howling,5.9,2/16/2012,114,"Mystery, Thriller"
13974,The Personal History of David Copperfield,6.5,11/7/2019,119,Comedy
13975,11/11/2011,4.6,11/11/2011,90,"Horror, Thriller"
13976,Bloody Birthday,5.9,4/28/1981,85,"Science Fiction, Horror"
13977,A Countess from Hong Kong,6.1,1/5/1967,107,"Comedy, Romance"
13978,The Ron Clark Story,7.4,8/13/2006,90,"TV Movie, Drama"
13979,Attack of the Killer Tomatoes!,5.0,10/1/1978,87,"Comedy, Horror, Science Fiction"
13980,Eyyvah Eyvah 2,5.8,1/7/2011,109,Comedy
13981,The Legend of the Chupacabras,7.2,10/21/2016,81,"Animation, Action, Adventure, Fantasy, Horror, History, Family"
13982,Exotica,6.6,11/30/1994,104,"Drama, Mystery"
13983,Dark City,7.3,2/27/1998,100,"Mystery, Science Fiction"
13984,The Isle,4.7,2/8/2019,96,"Thriller, Adventure, Fantasy, Horror"
13985,No Sleep 'Til Christmas,6.9,12/10/2018,85,"Comedy, Romance, TV Movie"
13986,Street Trash,6.2,2/22/1987,100,"Comedy, Horror"
13987,Pumpkinhead,6.3,6/9/1988,86,"Fantasy, Horror"
13988,Closeness,7.0,8/3/2017,118,Drama
13989,Kangaroo Jack,5.3,1/17/2003,89,"Action, Adventure, Comedy, Family, Crime"
13990,Dragon Lord,6.3,1/21/1982,102,"Action, Comedy"
13991,Arthur and the Revenge of Maltazard,5.7,11/26/2009,93,"Adventure, Fantasy, Animation, Family"
13992,Lilly the Witch: The Dragon and the Magic Book,5.3,2/12/2009,89,"Fantasy, Family, Comedy"
13993,Intimate Enemies,6.4,10/3/2007,108,"Drama, War, History"
13994,Kitchen in Paris,6.7,5/1/2014,106,Comedy
13995,Bloomington,6.7,6/23/2010,83,"Romance, Drama"
13996,Snatchers,6.6,3/12/2019,93,"Science Fiction, Horror, Comedy"
13997,Freedom Fighters: The Ray,6.2,8/28/2018,73,"Animation, Action, Fantasy"
13998,Jerry Maguire,6.9,12/13/1996,139,"Comedy, Drama, Romance"
13999,Don't Kill Me,4.4,4/21/2021,90,Horror
14000,Lovers,5.3,11/17/2020,102,"Drama, Thriller"
14001,Ladder 49,6.4,10/1/2004,115,"Drama, Action, Thriller"
14002,Harriet,7.3,11/1/2019,125,"Drama, History"
14003,Sister,8.0,9/19/2019,94,"War, Drama"
14004,"Vita, cuore, battito",5.6,3/17/2016,0,Comedy
14005,Operation Mekong,7.1,9/30/2016,124,"Action, Adventure, Crime, War"
14006,Black Clover: Sword of the Wizard King,8.1,6/16/2023,113,"Animation, Fantasy, Action, Adventure"
14007,Personal Shopper,5.9,10/19/2016,106,"Drama, Mystery, Thriller"
14008,Massacre at Central High,5.9,9/1/1976,87,"Horror, Thriller"
14009,Howling Village,6.0,2/7/2020,108,"Horror, Mystery"
14010,Hard Target,6.3,4/27/1993,97,"Action, Adventure, Crime, Thriller"
14011,Escape Room: Tournament of Champions,6.6,7/1/2021,88,"Horror, Thriller, Mystery"
14012,In the Cut,5.2,10/22/2003,119,"Drama, Mystery, Thriller"
14013,Pants on Fire,5.6,11/9/2014,85,"Comedy, Family"
14014,Dhamaal,6.7,9/7/2007,135,"Comedy, Action, Adventure"
14015,Scarlet Street,7.6,12/25/1945,103,"Drama, Crime"
14016,Cruise,5.9,9/28/2018,90,Romance
14017,Lola and Her Brothers,6.5,11/28/2018,105,Comedy
14018,Dark Blue,6.2,12/14/2002,118,"Crime, Drama, Thriller, Action"
14019,54,5.8,8/28/1998,106,"Drama, Music"
14020,The Seven-Per-Cent Solution,6.2,10/24/1976,113,"Mystery, Thriller"
14021,Purple Hearts,8.2,7/29/2022,122,"Romance, Drama"
14022,A Model Kidnapping,5.8,7/6/2019,85,"Thriller, TV Movie"
14023,How About Adolf?,6.8,10/18/2018,91,Comedy
14024,Spy Game,6.9,11/18/2001,126,"Action, Crime, Thriller"
14025,The Exterminator,5.6,9/10/1980,98,Action
14026,Breakdown,6.8,5/2/1997,95,"Crime, Drama, Mystery, Thriller"
14027,Solis,4.9,6/27/2018,92,"Action, Adventure, Science Fiction"
14028,I've Always Liked You,7.5,4/23/2016,63,"Animation, Drama, Romance"
14029,Meet the Feebles,6.3,8/12/1989,93,"Comedy, Music"
14030,Bagdad Cafe,7.2,11/12/1987,108,"Comedy, Drama"
14031,Krull,6.0,7/29/1983,117,"Action, Adventure, Fantasy, Science Fiction"
14032,Oklahoma City,6.8,1/21/2017,101,Documentary
14033,Who Killed Bambi?,5.4,11/15/2013,86,Comedy
14034,Destroyer,5.9,12/25/2018,121,"Thriller, Crime, Drama, Action"
14035,Terminator Salvation,6.0,5/20/2009,115,"Action, Science Fiction, Thriller"
14036,Natale in Sudafrica,4.4,12/20/2010,105,Comedy
14037,A Fantastic Woman,7.1,4/6/2017,104,Drama
14038,Unacknowledged,6.3,5/23/2017,100,Documentary
14039,THX 1138,6.5,3/11/1971,86,"Science Fiction, Action, Drama"
14040,The Time to Live and the Time to Die,7.3,8/3/1985,138,Drama
14041,After We Fell,7.1,9/1/2021,99,"Romance, Drama"
14042,In Syria,6.6,6/22/2017,85,"Drama, War"
14043,Mist & the Maiden,5.7,9/1/2017,100,"Thriller, Drama, Crime, Mystery"
14044,"Two Days, One Night",6.9,5/21/2014,95,Drama
14045,Summer Storm,6.7,9/2/2004,98,"Comedy, Drama"
14046,Along Came the Devil,5.8,8/10/2018,89,"Thriller, Horror, Drama"
14047,The Love Nest,6.8,3/1/1923,20,Comedy
14048,20th Century Women,7.3,12/28/2016,119,Drama
14049,A Shock to the System,6.4,3/23/1990,91,"Crime, Comedy"
14050,My Worst Nightmare,5.4,9/12/2011,103,Comedy
14051,American Beauty,8.0,9/15/1999,122,Drama
14052,Mood Indigo,6.2,1/10/2013,130,"Drama, Fantasy"
14053,Thirteen Days,7.0,12/25/2000,145,"Drama, History, Thriller, War"
14054,Involuntary,6.6,11/28/2008,98,"Comedy, Drama"
14055,The Lair of the White Worm,5.9,9/21/1988,93,"Comedy, Horror"
14056,Untouchable,6.4,6/20/2019,98,Documentary
14057,Mimic 2,5.2,7/17/2001,82,"Horror, Science Fiction, Thriller"
14058,Krisha,6.8,3/18/2016,81,Drama
14059,Possession,7.4,5/27/1981,124,Horror
14060,Brotherhood of Blades II: The Infernal Battlefield,6.7,8/11/2017,120,"Romance, Action, Drama, History"
14061,When Angels Sleep,5.6,9/7/2018,94,"Thriller, Crime"
14062,Land of Silence and Darkness,7.4,10/8/1971,85,Documentary
14063,From Me to You,7.3,9/25/2010,128,"Romance, Drama"
14064,"Not For, or Against (Quite the Contrary)",6.0,3/5/2003,111,"Drama, Crime"
14065,The Trial of the Chicago 7,7.7,9/25/2020,130,"Drama, History"
14066,Savior,7.2,6/1/1998,103,"History, Drama, War"
14067,La scuola,6.7,4/6/1995,104,"Comedy, Drama"
14068,Hotarubi no Mori e,8.4,9/17/2011,45,"Romance, Animation, Fantasy"
14069,Day of the Dead: Bloodline,4.7,12/29/2017,90,"Action, Horror"
14070,Private Fears in Public Places,6.4,11/22/2006,120,"Drama, Romance"
14071,Doctor Dolittle,6.1,12/5/1967,152,"Comedy, Family, Fantasy"
14072,Fahim,6.9,10/16/2019,107,"Drama, Family, Comedy"
14073,House of Usher,6.6,7/20/1960,79,"Horror, Drama"
14074,Soccer Days,5.9,9/19/2003,113,Comedy
14075,The Line,4.8,5/11/2009,95,"Action, Crime, Drama, Thriller"
14076,Almost Famous,7.5,9/15/2000,124,"Drama, Music"
14077,Momo,7.0,7/16/1986,101,"Comedy, Fantasy, Science Fiction, Family, Mystery"
14078,Belle du Seigneur,5.6,11/29/2012,124,"Drama, Romance"
14079,Choice of Arms,6.5,8/19/1981,135,"Crime, Drama"
14080,Young Frankenstein,7.9,12/15/1974,106,Comedy
14081,"Crack: Cocaine, Corruption & Conspiracy",6.7,1/11/2021,89,Documentary
14082,Last Scene Alive: An Aurora Teagarden Mystery,7.2,1/7/2018,85,"Mystery, TV Movie, Crime, Drama"
14083,Halo Legends,7.3,2/16/2010,120,"Animation, War, Action, Science Fiction"
14084,The Lake House,7.0,6/16/2006,99,"Drama, Mystery, Romance"
14085,The Bleeding Edge,6.7,7/27/2018,99,Documentary
14086,Diabolique,5.5,3/22/1996,107,"Mystery, Thriller, Horror"
14087,South Central,6.8,9/18/1992,99,"Crime, Drama"
14088,Mildred Pierce,7.6,10/20/1945,111,"Crime, Drama"
14089,Ace Ventura: Pet Detective,6.5,2/4/1994,86,"Comedy, Adventure"
14090,Gun Crazy,7.5,1/20/1950,87,"Crime, Thriller, Action, Romance"
14091,Newton,7.1,4/24/2017,106,"Comedy, Drama"
14092,George Carlin: Complaints & Grievances,7.5,11/17/2001,55,"Comedy, TV Movie"
14093,The Goddess,7.7,12/7/1934,85,Drama
14094,Mallrats,6.8,10/20/1995,94,"Romance, Comedy"
14095,Mission: Impossible,7.0,5/22/1996,110,"Adventure, Action, Thriller"
14096,Breathless,7.2,4/16/2009,130,"Crime, Drama"
14097,Darkman,6.4,8/24/1990,95,"Action, Science Fiction, Thriller"
14098,The Pig Who Cried Werewolf,6.2,10/4/2011,6,"Animation, Comedy"
14099,The Sitter,5.6,12/9/2011,81,Comedy
14100,Prospect,6.1,10/2/2018,98,Science Fiction
14101,The Flintstones in Viva Rock Vegas,4.8,4/28/2000,90,"Comedy, Family, Romance"
14102,Dabangg,5.9,9/10/2010,130,"Action, Comedy, Crime"
14103,The White Masai,6.4,9/14/2005,131,Drama
14104,Le Amiche,6.8,11/18/1955,104,"Drama, Romance"
14105,Escapee,3.9,9/2/2011,98,"Horror, Thriller, Mystery"
14106,Drishyam 2,7.8,2/19/2021,153,"Thriller, Drama, Crime"
14107,Rock the Kasbah,5.4,10/22/2015,100,"Comedy, Music, War"
14108,As Luck Would Have It,5.9,11/30/2011,98,"Drama, Comedy"
14109,Prophecy,5.4,2/2/1980,102,"Horror, Science Fiction"
14110,Umberto D.,7.9,1/20/1952,91,Drama
14111,The Song of Sparrows,7.5,10/1/2008,96,Drama
14112,Bicycle Thieves,8.2,11/24/1948,89,Drama
14113,Variety Lights,7.2,12/6/1950,93,"Drama, Comedy, Romance"
14114,A Boyfriend for Christmas,5.7,11/27/2004,83,"TV Movie, Romance, Comedy, Drama, Family"
14115,Wild Hogs,5.9,3/2/2007,100,"Action, Adventure, Comedy"
14116,The Face of Another,7.8,7/15/1966,124,"Drama, Science Fiction"
14117,Package Tour,6.8,8/22/1980,107,Comedy
14118,Rudolph the Red-Nosed Reindeer: The Movie,6.1,10/16/1998,83,"Animation, Family, Music"
14119,D@bbe: The Possession,5.8,8/2/2013,134,Horror
14120,Viy,7.0,11/27/1967,77,"Drama, Fantasy, Horror"
14121,Like Crazy,6.4,10/28/2011,90,"Drama, Romance"
14122,Stomp the Yard,7.0,5/16/2007,114,"Drama, Music"
14123,April Captains,6.4,4/21/2000,123,"Drama, History"
14124,The Ex,6.8,3/11/2021,90,"Horror, Thriller"
14125,Christmas Wonderland,6.1,12/2/2018,90,"TV Movie, Romance"
14126,A Single Life,7.0,12/4/2014,2,"Animation, Comedy"
14127,Whoever Slew Auntie Roo?,6.4,2/11/1972,91,"Horror, Thriller"
14128,Crazy on the Outside,5.2,1/8/2010,96,"Comedy, Romance"
14129,The Secret Life of Walter Mitty,7.2,12/18/2013,114,"Adventure, Comedy, Drama, Fantasy"
14130,Family Guy Presents: Blue Harvest,7.3,1/21/2008,47,"Comedy, TV Movie, Animation"
14131,Maggie,5.4,5/8/2015,95,"Horror, Drama, Mystery"
14132,The Poison Rose,4.6,5/23/2019,98,"Thriller, Crime"
14133,Beaumarchais the Scoundrel,6.7,3/20/1996,100,"Adventure, History, Romance"
14134,Bros Before Hos,6.2,12/5/2013,87,Comedy
14135,American Pop,6.7,2/13/1981,96,"Animation, Music, Drama, History"
14136,Marius,6.7,7/9/2013,93,"Drama, Comedy"
14137,The Night House,6.6,7/15/2021,107,"Drama, Horror, Mystery, Thriller"
14139,A Fairly Odd Summer,5.9,8/2/2014,66,"Fantasy, Comedy, Animation, Family, TV Movie"
14140,Vanishing Point,7.2,1/15/1971,99,"Action, Drama"
14141,The Festival,5.9,8/14/2018,98,"Comedy, Music"
14142,L'Âge d'or,6.8,11/28/1930,63,"Romance, Comedy, Drama"
14143,"Les Municipaux, ces héros",5.1,4/25/2018,0,Comedy
14144,House of the Rising Sun,4.5,7/19/2011,90,"Action, Thriller"
14145,Arjun Reddy,7.3,8/25/2017,187,"Romance, Drama, Action"
14146,Peppermint,6.7,9/6/2018,102,"Action, Thriller"
14147,The Curse of Downers Grove,4.8,8/21/2015,89,"Thriller, Mystery, Horror, Drama"
14148,Mega Shark vs. Kolossus,4.1,6/18/2015,89,"Thriller, Action, Horror, Science Fiction, Mystery"
14149,Nausicaä of the Valley of the Wind,7.9,3/11/1984,117,"Adventure, Animation, Fantasy"
14150,Cyprien,3.9,2/25/2009,98,Comedy
14151,Berlinguer: I Love You,6.9,10/6/1977,95,Comedy
14152,21,6.7,3/27/2008,123,"Drama, Crime"
14153,Out of Death,5.7,7/16/2021,95,"Action, Thriller"
14154,"Dance, Girl, Dance",6.4,8/30/1940,90,"Music, Romance, Comedy"
14155,Fright Night Part 2,6.4,4/7/1988,104,"Horror, Comedy"
14156,Mother's Boys,5.5,3/17/1994,96,"Drama, Thriller"
14157,No One Will Save You,6.9,9/22/2023,93,"Horror, Science Fiction, Thriller"
14158,The Meerkats,6.7,10/15/2008,83,Documentary
14159,Yossi,6.9,5/16/2012,84,"Drama, Romance"
14160,Don't. Get. Out!,6.4,4/12/2018,105,Thriller
14161,The Card Player,4.4,1/2/2004,103,"Horror, Mystery, Thriller"
14162,Heart of a Lion,6.7,10/18/2013,99,Drama
14163,"Love, Chunibyo & Other Delusions! Rikka Version",7.2,9/14/2013,97,"Comedy, Animation, Drama, Romance"
14164,Project Gutenberg,6.9,9/30/2018,130,"Action, Crime, Mystery, Thriller"
14165,Barcelona Summer Night,6.4,3/1/2013,96,"Comedy, Romance, Drama"
14166,"The Legend of Al, John and Jack",7.1,12/13/2002,105,"Comedy, Crime"
14167,"White as Milk, Red as Blood",6.3,4/2/2013,94,"Drama, Comedy"
14168,Sleepwalk with Me,6.5,8/24/2012,81,Comedy
14169,Blood Vessel,5.3,10/11/2019,93,"Horror, Science Fiction"
14170,Careful What You Wish For,6.1,5/6/2015,91,"Drama, Thriller"
14171,The United States vs. Billie Holiday,6.6,3/31/2021,131,"Music, Drama, History"
14172,Dream Boat,5.5,6/28/2017,92,Documentary
14173,The Red Violin,7.4,9/10/1998,131,"Drama, Thriller, Mystery, Music, Romance"
14174,The Hippopotamus,6.4,3/8/2017,86,Comedy
14175,Crash,7.2,5/6/2005,112,Drama
14176,Ali: Fear Eats the Soul,7.7,6/5/1974,93,"Romance, Drama"
14177,Dead of Night,6.3,8/29/1974,88,Horror
14178,Sweet Home,4.9,5/8/2015,80,Horror
14179,Coraline,7.9,2/5/2009,100,"Animation, Family, Fantasy"
14180,Mater Private Eye,6.2,11/2/2010,5,"Animation, Comedy, Family, Mystery"
14181,RED,6.7,10/13/2010,111,"Action, Adventure, Comedy, Crime, Thriller"
14182,S1m0ne,5.9,8/23/2002,117,"Science Fiction, Comedy, Drama"
14183,My Little Pony: Best Gift Ever,7.5,12/5/2018,44,"Animation, Comedy, Fantasy, Music"
14184,TiMER,6.2,5/14/2009,99,"Fantasy, Drama, Comedy, Science Fiction, Romance"
14185,Loro,6.7,9/13/2018,157,Drama
14186,Mexican Garañon,5.7,2/4/2014,105,Comedy
14187,Rejected,7.4,7/25/2000,9,"Animation, Comedy"
14188,Shrooms,4.9,8/16/2007,84,"Horror, Mystery"
14189,The Kissing Booth 3,7.0,8/11/2021,112,"Romance, Comedy"
14190,The Dry,6.8,1/1/2021,117,"Crime, Thriller, Mystery"
14191,Emerald Green,7.0,7/7/2016,113,"Fantasy, Action"
14192,Escape from Fort Bravo,6.1,12/4/1953,99,Western
14193,Noi the Albino,6.9,2/28/2003,90,Drama
14194,Borat Subsequent Moviefilm,6.5,10/23/2020,96,Comedy
14195,School for Scoundrels,7.0,3/24/1960,94,Comedy
14196,The Seasoning House,6.4,8/21/2012,89,Horror
14197,The Silence of the Hams,4.9,3/11/1994,81,"Thriller, Comedy"
14198,Duets,5.7,9/9/2000,112,"Comedy, Drama, Music"
14199,Huesera: The Bone Woman,5.8,2/10/2023,93,"Drama, Horror, Mystery"
14200,The Bad Seed,7.1,9/9/2018,84,"Drama, Horror, Thriller"
14201,Tales from the Crypt: Demon Knight,6.8,1/13/1995,92,"Horror, Comedy, Thriller"
14202,Papicha,7.7,10/9/2019,108,Drama
14203,Fantôme avec chauffeur,5.0,3/20/1996,78,"Comedy, Fantasy"
14204,I Saw What You Did,6.3,7/21/1965,82,"Horror, Thriller"
14205,"Josee, the Tiger and the Fish",8.3,12/25/2020,98,"Animation, Drama, Romance"
14206,Shadow,6.9,9/30/2018,116,"Action, Drama"
14207,Reasonable Doubt,5.8,1/17/2014,91,"Crime, Thriller"
14208,The NeverEnding Story III,4.4,10/26/1994,95,"Fantasy, Family"
14209,Sandra,7.0,9/15/1965,100,"Drama, Mystery"
14210,Long Weekend,6.1,3/29/1979,92,"Horror, Mystery, Thriller"
14211,Jeepers Creepers 3,4.9,9/26/2017,100,"Horror, Mystery, Thriller"
14212,The Breed,5.4,7/19/2001,91,"Horror, Action, Science Fiction"
14213,Comedy Central Roast of James Franco,7.2,9/2/2013,70,"Comedy, TV Movie, Documentary"
14214,The Last Kingdom: Seven Kings Must Die,7.3,4/14/2023,111,"Action, Adventure, War"
14215,Waxwork II: Lost in Time,5.0,5/11/1992,104,"Horror, Fantasy, Comedy"
14216,Accidental Love,4.2,2/10/2015,100,"Romance, Comedy"
14217,Ali Baba Bunny,6.7,2/9/1957,7,"Animation, Family, Comedy"
14218,Cop and ½,4.5,4/2/1993,93,"Action, Comedy, Family"
14219,The Harder They Fall,6.7,10/22/2021,139,Western
14220,Being the Ricardos,6.5,12/10/2021,132,"Drama, History"
14221,The Pagan King,6.4,1/17/2018,110,"History, Adventure, Action"
14222,Misfit,8.1,10/14/2021,90,"Comedy, Romance"
14223,Chicken Little,5.9,11/4/2005,81,"Animation, Family, Comedy"
14224,Art School Confidential,6.1,5/5/2006,102,"Comedy, Drama"
14225,The Good Lie,7.4,9/10/2014,110,Drama
14226,Déjà Vu,6.8,11/22/2006,126,"Action, Thriller, Science Fiction"
14227,Wyvern,5.0,1/31/2009,90,"Fantasy, Science Fiction, TV Movie, Action, Adventure"
14228,Lord of Illusions,6.0,8/25/1995,119,"Horror, Fantasy"
14229,8MM,6.4,2/26/1999,123,"Thriller, Crime, Mystery"
14230,The Perks of Being a Wallflower,7.8,9/20/2012,103,Drama
14231,Tom Clancy's Without Remorse,7.0,4/29/2021,109,"Adventure, Action, Thriller, War"
14232,Cat People,6.9,12/5/1942,73,"Horror, Drama, Mystery"
14233,Fading Gigolo,5.8,9/7/2013,90,Comedy
14234,She's the One,5.5,8/26/1996,96,"Romance, Comedy"
14235,"3 ½ Minutes, 10 Bullets",7.4,10/2/2015,98,"Documentary, Thriller"
14236,The Punisher,6.3,4/15/2004,124,"Action, Crime, Drama"
14237,Interior. Leather Bar.,5.5,10/2/2013,61,Drama
14238,The Congress,6.4,7/3/2013,122,"Drama, Science Fiction, Animation"
14239,The Mill and the Cross,6.5,3/18/2011,96,"Drama, History"
14240,Convoy,6.3,6/27/1978,110,"Action, Comedy"
14241,Chuck,6.2,5/5/2017,101,Drama
14242,Flash of Genius,6.5,9/7/2008,119,Drama
14243,The Man Who Would Be King,7.5,12/3/1975,129,"Adventure, Drama"
14244,The Daytrippers,6.4,3/5/1997,87,"Drama, Comedy"
14245,Don't Leave Home,4.7,3/10/2018,86,"Thriller, Mystery"
14246,Trolls,6.7,10/13/2016,92,"Family, Animation, Fantasy, Adventure, Comedy, Music"
14247,John Wick,7.4,10/22/2014,101,"Action, Thriller"
14248,Cowboy,6.3,1/23/1958,92,Western
14249,Short Night of Glass Dolls,6.7,10/28/1971,92,"Horror, Mystery"
14250,Return,6.7,1/28/2020,18,"Drama, Fantasy"
14251,Boy Meets Girl,6.6,6/28/2014,95,"Comedy, Drama, Romance"
14252,Girl Lost,5.8,5/1/2018,95,Drama
14253,V/H/S,6.1,7/28/2012,116,"Thriller, Horror"
14254,Slugs,5.6,2/5/1988,89,Horror
14255,The Idol,7.1,1/21/2016,100,"Comedy, Drama"
14256,I Walked with a Zombie,6.8,4/21/1943,69,"Drama, Horror, Fantasy, Mystery"
14257,Do You Trust this Computer?,7.0,4/5/2018,78,Documentary
14258,The Complex,4.9,5/13/2013,106,Horror
14259,Le Guignolo,6.2,3/26/1980,108,"Comedy, Action"
14260,Memory,6.9,4/28/2022,114,"Action, Thriller, Crime"
14261,The Chaperone,5.6,2/11/2011,103,"Comedy, Family, Action"
14262,Company of Heroes,5.3,2/25/2013,100,"Action, Drama, War"
14263,Catwoman,4.6,7/22/2004,104,"Action, Fantasy, Mystery, Crime"
14264,Cargo,6.4,10/6/2017,105,"Drama, Thriller, Horror"
14265,Alligator,5.9,7/2/1980,91,"Horror, Science Fiction, Thriller"
14266,Right at Your Door,5.8,1/23/2006,96,"Drama, Thriller, Science Fiction"
14267,You Get Me,5.6,6/19/2017,89,"Thriller, Romance, Drama"
14268,Cosmos,5.8,11/8/2019,128,"Science Fiction, Mystery"
14269,Crows Zero,7.0,10/26/2007,130,"Action, Adventure, Comedy, Crime"
14270,Wallace & Gromit: The Curse of the Were-Rabbit,7.0,9/4/2005,85,"Adventure, Animation, Comedy, Family"
14271,The Tunnel,7.1,1/21/2001,150,"Drama, Thriller"
14272,Blood Beach,4.5,9/1/1980,92,"Science Fiction, Horror"
14273,L'allenatore nel pallone,6.5,10/26/1984,98,Comedy
14274,Warlock III: The End of Innocence,4.7,10/12/1999,94,"Fantasy, Horror"
14275,Tutto molto bello,3.7,10/9/2014,86,Comedy
14276,Kiss Me Again,5.8,1/29/2010,139,Comedy
14277,Natale a Londra - Dio salvi la Regina,5.3,12/15/2016,98,Comedy
14278,Dennis the Menace,5.8,6/24/1993,94,"Family, Comedy"
14279,The August Virgin,6.7,8/15/2019,125,Comedy
14280,Free Solo,7.9,9/28/2018,100,"Documentary, Adventure"
14281,Thi Mai,6.2,1/12/2018,99,Comedy
14282,A Good Man,5.0,8/19/2014,100,Action
14283,Returner,6.5,8/31/2002,116,"Action, Adventure, Science Fiction"
14284,Invisible Life,7.9,8/30/2019,140,Drama
14285,The Man Who Bought The Moon,6.9,11/29/2018,105,Comedy
14286,Nancy,5.8,6/8/2018,87,"Mystery, Drama"
14287,Crooks in Clover,7.8,11/27/1963,111,"Action, Comedy, Crime"
14288,300: Rise of an Empire,6.1,3/5/2014,102,"Action, Drama, War"
14289,Merry Kissmas,6.1,12/5/2015,89,"Comedy, Romance, TV Movie, Drama"
14290,Everything Everything Nothing Nothing,5.2,11/30/2012,87,Comedy
14291,The Night of the 12th,7.1,7/13/2022,114,"Thriller, Crime, Mystery"
14292,Elmer Gantry,7.3,7/7/1960,146,Drama
14293,Jesse Stone: Death in Paradise,6.9,4/30/2006,87,"Crime, Thriller, Mystery, TV Movie"
14294,Death in Venice,7.3,3/2/1971,130,"Drama, History"
14295,Love Hard,7.0,11/5/2021,105,"Comedy, Romance"
14296,Proximity,6.1,5/15/2020,119,"Science Fiction, Drama"
14297,1000 Miles From Christmas,6.3,12/24/2021,102,"Comedy, Romance, Family"
14298,Borderland,5.3,11/9/2007,105,"Crime, Horror, Thriller"
14299,Deliverance,7.3,8/18/1972,109,"Drama, Adventure, Thriller"
14300,Scooby Doo and The Zombies,9.1,8/30/2011,63,"Animation, Adventure, Family, Mystery, Comedy"
14301,Miss Hokusai,6.8,5/9/2015,90,"Animation, Drama, History"
14302,The Lion King II: Simba's Pride,6.9,10/24/1998,81,"Family, Adventure, Animation, Action"
14303,Cheech & Chong's Next Movie,6.0,7/18/1980,99,"Action, Adventure, Comedy"
14304,D.O.A.,6.3,3/18/1988,96,"Mystery, Thriller"
14305,Midnight Special,6.2,2/12/2016,112,"Adventure, Drama, Science Fiction"
14306,Why,7.2,10/27/1971,98,"Drama, Comedy"
14307,The Yellow Handkerchief,6.2,11/19/2009,102,"Drama, Romance"
14308,Jingle Jangle: A Christmas Journey,6.6,11/6/2020,122,"Family, Fantasy, Music"
14309,Room on the Broom,6.3,12/25/2012,25,"Family, Animation"
14310,Godzilla vs. Mechagodzilla,7.0,3/20/1974,84,"Action, Science Fiction"
14311,The Trip 6,6.9,12/25/2021,97,Comedy
14312,The Flight Before Christmas,5.5,12/1/2015,90,"Comedy, Drama, TV Movie"
14313,The Trench,5.5,9/17/1999,98,"War, History"
14314,ME!ME!ME!,8.0,11/21/2014,7,"Animation, Music"
14315,Loch Ness,5.6,8/23/1996,101,"Drama, Family"
14316,Flywheel,6.8,4/9/2003,120,"Drama, Family"
14317,Warm Bodies,6.4,1/31/2013,97,"Horror, Comedy, Romance"
14318,CSI: Immortality,7.0,9/27/2015,87,"Crime, Mystery, TV Movie"
14319,The Lego Ninjago Movie,6.5,9/21/2017,101,"Family, Animation, Action, Adventure, Comedy"
14320,Bamboozled,6.1,10/6/2000,136,"Comedy, Drama"
14321,Gods and Monsters,7.0,1/21/1998,105,Drama
14322,The Creator,7.5,9/27/2023,134,"Science Fiction, Action, Thriller"
14323,Wild Mouse,6.6,2/17/2017,103,"Comedy, Drama"
14324,Pat and Mike,6.4,6/13/1952,95,"Comedy, Romance"
14325,Stealth,5.4,7/27/2005,121,Science Fiction
14326,Big Trouble,6.2,4/5/2002,85,"Action, Comedy, Thriller, Mystery"
14327,Death Note Relight 1: Visions of a God,8.0,8/31/2007,130,"TV Movie, Crime, Drama, Fantasy, Thriller, Animation"
14328,SMS,4.6,8/20/2014,84,Comedy
14329,Attack on Titan: The Roar of Awakening,8.4,1/13/2018,120,"Animation, Action, Adventure, Fantasy"
14330,Drishyam,7.7,7/30/2015,163,"Crime, Drama, Thriller, Mystery"
14331,Maleficent,7.1,5/28/2014,97,"Fantasy, Adventure, Action, Family, Romance"
14332,Killer Book Club,5.7,8/25/2023,89,"Horror, Thriller"
14333,Red Dawn,5.7,3/15/2012,93,"Action, Thriller"
14334,Mission to Mars,6.0,3/10/2000,114,"Science Fiction, Adventure, Mystery"
14335,Carry On Cleo,6.5,11/8/1964,94,Comedy
14336,Busy Bodies,7.3,10/7/1933,19,Comedy
14337,The Last Thing Mary Saw,6.3,8/15/2021,88,"Horror, Drama, Thriller"
14338,Sick of Myself,7.3,9/30/2022,97,"Comedy, Drama"
14339,Perfectos desconocidos,7.1,12/25/2018,101,"Comedy, Drama"
14340,Alvin and the Chipmunks,5.8,12/13/2007,92,"Comedy, Family, Fantasy, Animation"
14341,The Players,4.1,7/15/2020,88,Comedy
14342,Walking with the Enemy,6.4,4/25/2014,124,"Action, Drama, History, War"
14343,Juwanna Mann,5.1,6/21/2002,91,Comedy
14344,13 Hours: The Secret Soldiers of Benghazi,7.3,1/14/2016,144,"War, Action, History, Drama"
14345,Flowers and Trees,6.7,7/23/1932,8,Animation
14346,"Girl, Interrupted",7.6,12/21/1999,127,Drama
14347,Seconds,7.3,10/5/1966,107,"Science Fiction, Horror, Thriller, Drama"
